,frame,keypoint,x,y,z
258,12,left_0006,-632.693486797316,39.707427062621825,1483.6555740008366
259,12,left_0007,-631.5120014729836,46.346528427906755,1512.5801333422985
260,12,left_0008,-630.5445066076337,49.43079326084016,1534.6152911525335
261,12,left_0009,-601.4387270796371,27.345577634447476,1446.9123241848363
262,12,left_0010,-604.1667923292229,44.387563586091325,1488.6436101639151
263,12,left_0011,-600.4382430029884,47.04210018800655,1519.3227947285031
264,12,left_0012,-592.2843022572039,46.84417934890754,1547.7563168522847
265,12,left_0013,-571.7537491231889,30.67646453099083,1458.2103750405226
266,12,left_0014,-572.7441617180081,44.61796316050987,1498.2895003147785
267,12,left_0015,-565.8952795516839,47.762130858923676,1528.77076758602
268,12,left_0016,-553.7183257760686,48.215522341555015,1557.9765400134531
269,12,left_0017,-545.2420989490627,29.839090819654192,1472.003233908087
270,12,left_0018,-543.2490327649051,43.30445458416196,1508.473309670424
271,12,left_0019,-537.8912371993845,46.423296922836705,1535.2375135448235
272,12,left_0020,-527.0313739397269,46.37330229008517,1560.56023335162
273,13,left_0000,-195.5935718376204,-31.69372762102033,1691.5825538683334
274,13,left_0001,-209.45083888482267,-26.13773575514165,1743.3798642492711
275,13,left_0002,-215.8925477787362,-0.12029900460005222,1790.731165815834
276,13,left_0003,-219.61862802439907,26.958528177218486,1824.8214405426213
277,13,left_0004,-223.84464968298568,46.201986710834824,1856.3164972871982
278,13,left_0005,-200.15950873607335,43.994418868814336,1784.5653610088452
279,13,left_0006,-209.4620100249358,71.32814619258495,1833.670045827649
280,13,left_0007,-216.62697599018895,81.60295881807608,1863.198650001258
281,13,left_0008,-222.62138797344522,87.71621332846203,1885.2319061210605
282,13,left_0009,-191.14068444105573,50.780366811957265,1768.217901097619
283,13,left_0010,-199.31232991978348,74.33660576085639,1817.4123485026535
284,13,left_0011,-205.84116213404803,81.27838589792326,1846.7582213763544
285,13,left_0012,-210.1823244271865,84.093953352868,1870.0314339894278
286,13,left_0013,-185.95744200803898,49.458547801668026,1755.72186715557
287,13,left_0014,-192.70655003624947,68.90070330505351,1800.6277686713279
288,13,left_0015,-197.9614898552619,75.75036118617136,1828.6884022917102
289,13,left_0016,-200.4300976196405,78.53898589519892,1851.806697417958
290,13,left_0017,-185.11674573291705,43.69525960577296,1745.649066181805
291,13,left_0018,-189.99314643635293,60.28506112384665,1784.0273953374106
292,13,left_0019,-192.866988550663,66.10535328239794,1809.312635579826
293,13,left_0020,-193.27510221943405,67.95311873728753,1829.0247412556055
294,14,left_0000,-586.3477628236234,-38.71518233243594,1407.9976160947037
295,14,left_0001,-622.2833064501735,-44.070802141391354,1429.9490569821185
296,14,left_0002,-639.025822851309,-25.304608651600915,1457.9122734462642
297,14,left_0003,-637.727552860054,-1.7349696283678495,1488.4480739070923
298,14,left_0004,-637.6245691293489,13.433609803557447,1516.114112806791
299,14,left_0005,-628.05532047412,21.343907824290966,1450.171588297129
300,14,left_0006,-632.6080509914449,41.44519722524309,1494.2773100713691
301,14,left_0007,-631.1780345428325,46.90244265038164,1524.2068778052876
302,14,left_0008,-628.7688558075854,49.30847482717913,1547.0763186376662
303,14,left_0009,-599.9752840460503,32.49531756214305,1455.4014617751693
304,14,left_0010,-604.7753738311329,48.52226368868882,1498.8399758080743
305,14,left_0011,-600.0678430275615,50.68719760720174,1530.9050873541037
306,14,left_0012,-589.8418215939854,50.39342594975096,1560.6433146231648
307,14,left_0013,-570.3396145222116,36.67588583212729,1467.8034894938419
